"","word","n"
"1","jew",1771
"2","white",771
"3","israel",661
"4","fuck",532
"5","nigger",450
"6","false",424
"7","el",389
"8","function",388
"9","click",387
"10","women",355
"11","retard",338
"12","world",336
"13","country",301
"14","party",300
"15","america",299
"16","war",282
"17","posting",274
"18","free",267
"19","based",247
"20","coming",245
"21","literally",245
"22","weeks",244
"23","money",242
"24","learn",241
"25","faggot",239
"26","check",226
"27","force",223
"28","happy",223
"29","real",221
"30","spread",215
"31","live",208
"32","box",205
"33","god",205
"34","origin",199
"35","trial",199
"36","birthday",198
"37","hate",198
"38","script",197
"39","canvas",193
"40","janitor",192
"41","acceptance",191
"42","confetti",191
"43","life",182
"44","bad",175
"45","die",172
"46","reason",160
"47","support",156
"48","anti",152
"49","death",147
"50","government",147
"51","kill",147
"52","race",140
"53","stop",139
"54","trump",137
"55","russia",136
"56","care",135
"57","human",134
"58","christian",132
"59","fake",131
"60","makes",128
"61","jesus",126
"62","kids",126
"63","wrong",122
"64","middle",121
"65","love",120
"66","power",120
"67","pretty",120
"68","fight",119
"69","left",119
"70","children",118
"71","single",116
"72","stupid",116
"73","gay",115
"74","house",115
"75","black",114
"76","countries",114
"77","pay",114
"78","west",112
"79","feel",110
"80","south",110
"81","christianity",109
"82","guy",108
"83","russian",108
"84","european",107
"85","religion",106
"86","americas",105
"87","history",105
"88","means",104
"89","ukraine",104
"90","western",104
"91","bible",103
"92","brown",103
"93","girls",101
"94","land",101
"95","person",101
"96","bullshit",100
"97","nice",99
"98","talking",99
"99","happened",97
"100","job",96
"101","hard",94
"102","shill",94
"103","dead",93
"104","called",92
"105","understand",92
"106","ass",91
"107","gonna",91
"108","imagine",91
"109","remember",91
"110","class",90
"111","entire",90
"112","living",90
"113","evil",89
"114","german",88
"115","times",88
"116","video",88
"117","average",86
"118","media",86
"119","population",86
"120","start",86
"121","basically",85
"122","flag",85
"123","guess",85
"124","low",85
"125","truth",85
"126","age",84
"127","pagan",84
"128","actual",83
"129","control",83
"130","hope",83
"131","total",83
"132","worship",83
"133","family",82
"134","vote",82
"135","holy",81
"136","islam",81
"137","killed",81
"138","system",81
"139","taking",81
"140","days",79
"141","matter",79
"142","mass",78
"143","halloween",77
"144","social",77
"145","change",76
"146","pic",76
"147","rich",76
"148","ago",75
"149","political",75
"150","threads",75
"151","eyes",74
"152","muslim",74
"153","stuff",74
"154","leave",73
"155","slave",73
"156","started",73
"157","call",72
"158","porn",72
"159","earth",71
"160","city",70
"161","completely",70
"162","cope",70
"163","holocaust",70
"164","question",70
"165","canada",69
"166","hand",68
"167","hell",68
"168","nation",68
"169","op",68
"170","school",68
"171","sex",68
"172","attack",67
"173","goy",67
"174","happen",67
"175","iq",67
"176","experience",66
"177","germany",66
"178","immigration",66
"179","iran",66
"180","parents",66
"181","stay",66
"182","bernd",65
"183","related",65
"184","society",65
"185","week",65
"186","worse",65
"187","anymore",64
"188","fun",64
"189","brain",63
"190","dumb",63
"191","easy",63
"192","gods",63
"193","christ",62
"194","culture",62
"195","happening",62
"196","pro",62
"197","win",62
"198","lost",61
"199","mind",61
"200","poor",61
"201","dog",60
"202","germans",60
"203","calling",59
"204","exist",59
"205","lose",59
"206","palestinians",59
"207","rest",59
"208","wait",59
"209","wing",59
"210","freedom",58
"211","genocide",58
"212","half",58
"213","satan",58
"214","status",58
"215","talmud",57
"216","absolute",56
"217","cool",56
"218","found",56
"219","friends",56
"220","absolutely",55
"221","bunch",55
"222","buy",55
"223","evidence",55
"224","funny",55
"225","idea",55
"226","move",55
"227","paid",55
"228","run",55
"229","thinking",55
"230","told",55
"231","version",55
"232","bump",54
"233","claim",54
"234","dying",54
"235","east",54
"236","majority",54
"237","slaves",54
"238","talk",54
"239","wars",54
"240","blue",53
"241","china",53
"242","fine",53
"243","food",53
"244","head",53
"245","honestly",53
"246","pagans",53
"247","died",52
"248","girl",52
"249","goyim",52
"250","hour",52
"251","pathetic",52
"252","racist",52
"253","sage",52
"254","travel",52
"255","book",51
"256","fighting",51
"257","public",51
"258","weird",51
"259","deal",50
"260","destroy",50
"261","dude",50
"262","enemy",50
"263","liberals",50
"264","voting",50
"265","blood",49
"266","chinese",49
"267","debt",49
"268","months",49
"269","simply",49
"270","boomer",48
"271","business",48
"272","jobs",48
"273","million",48
"274","north",48
"275","send",48
"276","simple",48
"277","deserve",47
"278","gun",47
"279","lee",47
"280","level",47
"281","propaganda",47
"282","realize",47
"283","sense",47
"284","shooting",47
"285","watching",47
"286","child",46
"287","cock",46
"288","guns",46
"289","lives",46
"290","military",46
"291","oil",46
"292","politics",46
"293","rabbi",46
"294","simps",46
"295","thousands",46
"296","amount",45
"297","bit",45
"298","cares",45
"299","lamb",45
"300","law",45
"301","statue",45
"302","accept",44
"303","bring",44
"304","close",44
"305","created",44
"306","enjoy",44
"307","ethnic",44
"308","friend",44
"309","future",44
"310","giving",44
"311","kid",44
"312","killing",44
"313","paying",44
"314","space",44
"315","totally",44
"316","water",44
"317","wife",44
"318","word",44
"319","worth",44
"320","church",43
"321","cult",43
"322","denounce",43
"323","dick",43
"324","eat",43
"325","fat",43
"326","heard",43
"327","king",43
"328","native",43
"329","play",43
"330","police",43
"331","rape",43
"332","shot",43
"333","shut",43
"334","act",42
"335","common",42
"336","couple",42
"337","destroyed",42
"338","drugs",42
"339","light",42
"340","literal",42
"341","modern",42
"342","plan",42
"343","slavery",42
"344","street",42
"345","suck",42
"346","ancient",41
"347","baby",41
"348","decades",41
"349","explain",41
"350","normal",41
"351","twitter",41
"352","whores",41
"353","ai",40
"354","answer",40
"355","biggest",40
"356","candy",40
"357","cut",40
"358","dad",40
"359","destruction",40
"360","forget",40
"361","millions",40
"362","past",40
"363","personal",40
"364","reality",40
"365","red",40
"366","rights",40
"367","sounds",40
"368","trust",40
"369","words",40
"370","ban",39
"371","boomers",39
"372","election",39
"373","liberal",39
"374","save",39
"375","son",39
"376","trade",39
"377","vaccine",39
"378","allowed",38
"379","british",38
"380","car",38
"381","century",38
"382","dark",38
"383","judaism",38
"384","lying",38
"385","paganism",38
"386","seethe",38
"387","synagogue",38
"388","africa",37
"389","ancestors",37
"390","argument",37
"391","checked",37
"392","chosen",37
"393","create",37
"394","decent",37
"395","disgusting",37
"396","due",37
"397","eastern",37
"398","ego",37
"399","failed",37
"400","heart",37
"401","proof",37
"402","satanic",37
"403","supporting",37
"404","afford",36
"405","arab",36
"406","attacked",36
"407","bitch",36
"408","blame",36
"409","defend",36
"410","difference",36
"411","economic",36
"412","father",36
"413","fire",36
"414","foreign",36
"415","front",36
"416","hospital",36
"417","pussy",36
"418","sell",36
"419","turkey",36
"420","alive",35
"421","complete",35
"422","crime",35
"423","dollars",35
"424","english",35
"425","fix",35
"426","holiday",35
"427","ignore",35
"428","immigrants",35
"429","indian",35
"430","mother",35
"431","night",35
"432","president",35
"433","religious",35
"434","smart",35
"435","supposed",35
"436","trip",35
"437","type",35
"438","whore",35
"439","built",34
"440","burn",34
"441","canadian",34
"442","correct",34
"443","current",34
"444","fag",34
"445","follow",34
"446","hours",34
"447","massive",34
"448","musk",34
"449","situation",34
"450","army",33
"451","basic",33
"452","born",33
"453","chance",33
"454","civil",33
"455","conflict",33
"456","continue",33
"457","female",33
"458","forced",33
"459","france",33
"460","india",33
"461","influence",33
"462","issues",33
"463","mental",33
"464","natural",33
"465","reading",33
"466","replacement",33
"467","sad",33
"468","spend",33
"469","statues",33
"470","story",33
"471","takes",33
"472","wow",33
"473","asian",32
"474","constantly",32
"475","demons",32
"476","desert",32
"477","empire",32
"478","forever",32
"479","form",32
"480","french",32
"481","gas",32
"482","hates",32
"483","hear",32
"484","hit",32
"485","hunting",32
"486","line",32
"487","link",32
"488","mad",32
"489","month",32
"490","mutt",32
"491","picture",32
"492","politicians",32
"493","prophet",32
"494","protect",32
"495","prove",32
"496","ready",32
"497","remove",32
"498","source",32
"499","southern",32
"500","weak",32
"501","actions",31
"502","agree",31
"503","crazy",31
"504","data",31
"505","em",31
"506","enemies",31
"507","eventually",31
"508","explanation",31
"509","females",31
"510","harder",31
"511","hey",31
"512","houses",31
"513","married",31
"514","moment",31
"515","mushrooms",31
"516","nations",31
"517","northern",31
"518","reminder",31
"519","shoot",31
"520","super",31
"521","trash",31
"522","wealth",31
"523","apartheid",30
"524","attention",30
"525","build",30
"526","building",30
"527","cry",30
"528","depression",30
"529","easily",30
"530","fair",30
"531","inside",30
"532","join",30
"533","laws",30
"534","lie",30
"535","lies",30
"536","master",30
"537","operation",30
"538","park",30
"539","planet",30
"540","playing",30
"541","pretending",30
"542","provide",30
"543","religions",30
"544","running",30
"545","sand",30
"546","seething",30
"547","wont",30
"548","blacks",29
"549","calls",29
"550","cheap",29
"551","cold",29
"552","college",29
"553","controlled",29
"554","deep",29
"555","faith",29
"556","fellow",29
"557","ground",29
"558","humanity",29
"559","issue",29
"560","kills",29
"561","lord",29
"562","peace",29
"563","rule",29
"564","safe",29
"565","sandy",29
"566","short",29
"567","skin",29
"568","violence",29
"569","waste",29
"570","won",29
"571","bet",28
"572","brought",28
"573","cost",28
"574","expect",28
"575","flags",28
"576","humans",28
"577","including",28
"578","late",28
"579","leftist",28
"580","lower",28
"581","murder",28
"582","nose",28
"583","obvious",28
"584","prison",28
"585","rates",28
"586","rid",28
"587","satellite",28
"588","saved",28
"589","set",28
"590","telling",28
"591","ugly",28
"592","winter",28
"593","worst",28
"594","abraham",27
"595","addiction",27
"596","beliefs",27
"597","boat",27
"598","choose",27
"599","chug",27
"600","cities",27
"601","conservative",27
"602","conspiracy",27
"603","cringe",27
"604","deport",27
"605","drink",27
"606","figure",27
"607","finally",27
"608","fought",27
"609","generation",27
"610","historical",27
"611","hot",27
"612","illegal",27
"613","islamic",27
"614","leader",27
"615","nazis",27
"616","purpose",27
"617","putting",27
"618","raised",27
"619","random",27
"620","satellites",27
"621","scared",27
"622","similar",27
"623","soldiers",27
"624","speaking",27
"625","stand",27
"626","throw",27
"627","al",26
"628","birth",26
"629","deaths",26
"630","extremely",26
"631","fall",26
"632","global",26
"633","health",26
"634","huge",26
"635","information",26
"636","major",26
"637","mention",26
"638","plenty",26
"639","position",26
"640","refugees",26
"641","result",26
"642","schizo",26
"643","soul",26
"644","speak",26
"645","suffering",26
"646","taxes",26
"647","theory",26
"648","tier",26
"649","town",26
"650","trick",26
"651","whats",26
"652","ar",25
"653","avoid",25
"654","babies",25
"655","base",25
"656","body",25
"657","boy",25
"658","circumcision",25
"659","civilians",25
"660","companies",25
"661","crimes",25
"662","damn",25
"663","drop",25
"664","exists",25
"665","idiot",25
"666","lead",25
"667","lots",25
"668","met",25
"669","mixed",25
"670","multiple",25
"671","openly",25
"672","personally",25
"673","pure",25
"674","responsible",25
"675","syria",25
"676","videos",25
"677","wall",25
"678","bombs",24
"679","comfy",24
"680","commandments",24
"681","credit",24
"682","crisis",24
"683","destroying",24
"684","drank",24
"685","fast",24
"686","fear",24
"687","green",24
"688","hook",24
"689","insane",24
"690","lands",24
"691","leaders",24
"692","lived",24
"693","local",24
"694","meat",24
"695","quickly",24
"696","record",24
"697","robert",24
"698","signal",24
"699","sit",24
"700","sort",24
"701","sound",24
"702","spics",24
"703","stock",24
"704","suddenly",24
"705","team",24
"706","topic",24
"707","typical",24
"708","ukrainian",24
"709","worthless",24
"710","aryan",23
"711","bc",23
"712","bot",23
"713","claims",23
"714","climate",23
"715","content",23
"716","delta",23
"717","game",23
"718","genetic",23
"719","growing",23
"720","growth",23
"721","heaven",23
"722","identity",23
"723","kicked",23
"724","laugh",23
"725","likes",23
"726","listen",23
"727","map",23
"728","mine",23
"729","office",23
"730","pee",23
"731","perfect",23
"732","rate",23
"733","refuse",23
"734","replace",23
"735","republican",23
"736","roman",23
"737","romans",23
"738","shoots",23
"739","sick",23
"740","sole",23
"741","st",23
"742","stone",23
"743","subhuman",23
"744","sucks",23
"745","survive",23
"746","teeth",23
"747","union",23
"748","walk",23
"749","workers",23
"750","write",23
"751","zion",23
"752","add",22
"753","ahead",22
"754","aid",22
"755","amendment",22
"756","animals",22
"757","assume",22
"758","bank",22
"759","beautiful",22
"760","belong",22
"761","catholic",22
"762","civilization",22
"763","count",22
"764","cum",22
"765","daily",22
"766","damage",22
"767","daughter",22
"768","diversity",22
"769","dogs",22
"770","eve",22
"771","existence",22
"772","eye",22
"773","fed",22
"774","federal",22
"775","gotta",22
"776","hands",22
"777","immediately",22
"778","import",22
"779","judah",22
"780","meant",22
"781","migrants",22
"782","official",22
"783","palestinian",22
"784","pays",22
"785","pick",22
"786","policy",22
"787","potential",22
"788","previous",22
"789","property",22
"790","pushing",22
"791","raped",22
"792","sending",22
"793","sucking",22
"794","surprised",22
"795","useless",22
"796","woke",22
"797","wood",22
"798","acid",21
"799","amendments",21
"800","asses",21
"801","bigger",21
"802","choice",21
"803","citizens",21
"804","clown",21
"805","company",21
"806","compared",21
"807","considered",21
"808","dating",21
"809","devil",21
"810","energy",21
"811","excess",21
"812","excuse",21
"813","families",21
"814","flat",21
"815","forces",21
"816","gibs",21
"817","hold",21
"818","host",21
"819","huh",21
"820","implying",21
"821","leftists",21
"822","losing",21
"823","mid",21
"824","mode",21
"825","mom",21
"826","national",21
"827","nationalism",21
"828","nope",21
"829","opinion",21
"830","pictures",21
"831","prepares",21
"832","prevent",21
"833","program",21
"834","quality",21
"835","quit",21
"836","rat",21
"837","region",21
"838","replaced",21
"839","results",21
"840","romania",21
"841","sacrifice",21
"842","safety",21
"843","service",21
"844","si",21
"845","sign",21
"846","spent",21
"847","spiritual",21
"848","step",21
"849","strong",21
"850","test",21
"851","united",21
"852","utterly",21
"853","values",21
"854","walking",21
"855","welfare",21
"856","worshipping",21
"857","aka",20
"858","border",20
"859","break",20
"860","breed",20
"861","capitalism",20
"862","commit",20
"863","de",20
"864","defending",20
"865","depends",20
"866","depressed",20
"867","difficult",20
"868","door",20
"869","dropped",20
"870","elite",20
"871","essentially",20
"872","existed",20
"873","fail",20
"874","feels",20
"875","field",20
"876","filthy",20
"877","forward",20
"878","george",20
"879","hair",20
"880","ill",20
"881","industry",20
"882","involved",20
"883","lack",20
"884","leaf",20
"885","learned",20
"886","leaving",20
"887","legitimate",20
"888","maintain",20
"889","male",20
"890","message",20
"891","morning",20
"892","permanent",20
"893","pics",20
"894","pissed",20
"895","pretend",20
"896","private",20
"897","prostitution",20
"898","push",20
"899","races",20
"900","rational",20
"901","recent",20
"902","regular",20
"903","shlomo",20
"904","spirit",20
"905","steal",20
"906","tax",20
"907","torah",20
"908","traditions",20
"909","washington",20
"910","wear",20
"911","action",19
"912","active",19
"913","african",19
"914","air",19
"915","ally",19
"916","art",19
"917","attractive",19
"918","benefit",19
"919","billion",19
"920","boring",19
"921","boys",19
"922","brother",19
"923","cancer",19
"924","claiming",19
"925","combat",19
"926","communism",19
"927","community",19
"928","confederate",19
"929","croatia",19
"930","da",19
"931","daddy",19
"932","divine",19
"933","drive",19
"934","effort",19
"935","empty",19
"936","fags",19
"937","fault",19
"938","final",19
"939","glad",19
"940","goal",19
"941","golem",19
"942","honest",19
"943","hundreds",19
"944","hunt",19
"945","impossible",19
"946","irish",19
"947","irrelevant",19
"948","john",19
"949","knowing",19
"950","labor",19
"951","lazy",19
"952","letting",19
"953","lucky",19
"954","main",19
"955","matters",19
"956","mike",19
"957","noticed",19
"958","option",19
"959","piss",19
"960","protest",19
"961","ran",19
"962","saturn",19
"963","season",19
"964","sitting",19
"965","slowly",19
"966","smell",19
"967","sold",19
"968","solution",19
"969","starting",19
"970","straight",19
"971","supply",19
"972","territory",19
"973","tired",19
"974","unlike",19
"975","usual",19
"976","virus",19
"977","waiting",19
"978","wipe",19
"979","access",18
"980","admit",18
"981","angry",18
"982","apply",18
"983","article",18
"984","banned",18
"985","bodies",18
"986","bother",18
"987","burger",18
"988","cattle",18
"989","consequences",18
"990","conservatives",18
"991","cultural",18
"992","demand",18
"993","demonic",18
"994","discuss",18
"995","doubt",18
"996","economy",18
"997","event",18
"998","falls",18
"999","feet",18
"1000","flight",18
"1001","fund",18
"1002","games",18
"1003","garbage",18
"1004","gentiles",18
"1005","google",18
"1006","grow",18
"1007","housing",18
"1008","individual",18
"1009","invasion",18
"1010","kino",18
"1011","levels",18
"1012","list",18
"1013","logic",18
"1014","luck",18
"1015","marriage",18
"1016","mars",18
"1017","mask",18
"1018","meaning",18
"1019","mixing",18
"1020","mouth",18
"1021","movie",18
"1022","narrative",18
"1023","nature",18
"1024","negative",18
"1025","nu",18
"1026","oe",18
"1027","opposite",18
"1028","populations",18
"1029","prefer",18
"1030","pride",18
"1031","racial",18
"1032","research",18
"1033","resistance",18
"1034","rural",18
"1035","science",18
"1036","scum",18
"1037","services",18
"1038","special",18
"1039","specifically",18
"1040","streets",18
"1041","studies",18
"1042","teaching",18
"1043","term",18
"1044","testament",18
"1045","text",18
"1046","tradition",18
"1047","traitor",18
"1048","violent",18
"1049","voice",18
"1050","wages",18
"1051","ye",18
"1052","afraid",17
"1053","ah",17
"1054","alien",17
"1055","amazing",17
"1056","billions",17
"1057","bombing",17
"1058","breaking",17
"1059","central",17
"1060","centuries",17
"1061","communist",17
"1062","compete",17
"1063","cover",17
"1064","creating",17
"1065","curious",17
"1066","cute",17
"1067","dealing",17
"1068","decade",17
"1069","declare",17
"1070","drug",17
"1071","education",17
"1072","effect",17
"1073","effective",17
"1074","elites",17
"1075","escape",17
"1076","expensive",17
"1077","heads",17
"1078","hole",17
"1079","invaders",17
"1080","males",17
"1081","market",17
"1082","minority",17
"1083","moral",17
"1084","muhammad",17
"1085","notice",17
"1086","owners",17
"1087","oy",17
"1088","perspective",17
"1089","piece",17
"1090","possibly",17
"1091","prices",17
"1092","profit",17
"1093","pushed",17
"1094","quiet",17
"1095","reach",17
"1096","relationship",17
"1097","revolution",17
"1098","risk",17
"1099","salvation",17
"1100","spike",17
"1101","spirits",17
"1102","study",17
"1103","subhumans",17
"1104","surrender",17
"1105","tells",17
"1106","traitors",17
"1107","weapons",17
"1108","written",17
"1109","archive",16
"1110","attacking",16
"1111","battle",16
"1112","beat",16
"1113","begin",16
"1114","broken",16
"1115","burned",16
"1116","christmas",16
"1117","circumcised",16
"1118","clean",16
"1119","commie",16
"1120","conquered",16
"1121","convert",16
"1122","currency",16
"1123","decided",16
"1124","deer",16
"1125","defeat",16
"1126","deny",16
"1127","dirty",16
"1128","draft",16
"1129","drones",16
"1130","easier",16
"1131","episode",16
"1132","equal",16
"1133","excuses",16
"1134","failure",16
"1135","feed",16
"1136","feeling",16
"1137","figured",16
"1138","forgot",16
"1139","frogs",16
"1140","funding",16
"1141","generations",16
"1142","gold",16
"1143","hatred",16
"1144","horror",16
"1145","hurt",16
"1146","income",16
"1147","invented",16
"1148","iraq",16
"1149","jack",16
"1150","kingdom",16
"1151","knowledge",16
"1152","leads",16
"1153","lines",16
"1154","losers",16
"1155","loving",16
"1156","mentally",16
"1157","minorities",16
"1158","mutts",16
"1159","nazi",16
"1160","nuclear",16
"1161","occupation",16
"1162","opposition",16
"1163","original",16
"1164","path",16
"1165","period",16
"1166","physical",16
"1167","popular",16
"1168","positive",16
"1169","powerful",16
"1170","project",16
"1171","proves",16
"1172","puppet",16
"1173","quick",16
"1174","refused",16
"1175","removed",16
"1176","respect",16
"1177","river",16
"1178","scenario",16
"1179","scouse",16
"1180","share",16
"1181","simp",16
"1182","slow",16
"1183","soft",16
"1184","strategy",16
"1185","sugar",16
"1186","target",16
"1187","theories",16
"1188","tho",16
"1189","tiny",16
"1190","trips",16
"1191","types",16
"1192","window",16
"1193","ya",16
"1194","actively",15
"1195","attempt",15
"1196","authority",15
"1197","barron",15
"1198","beauty",15
"1199","behavior",15
"1200","belief",15
"1201","books",15
"1202","boot",15
"1203","buddy",15
"1204","campaign",15
"1205","capable",15
"1206","cars",15
"1207","caught",15
"1208","celebrating",15
"1209","channel",15
"1210","churches",15
"1211","colony",15
"1212","constant",15
"1213","corporations",15
"1214","crying",15
"1215","cultures",15
"1216","date",15
"1217","degree",15
"1218","desperate",15
"1219","discussion",15
"1220","double",15
"1221","dream",15
"1222","drunk",15
"1223","dudes",15
"1224","dutch",15
"1225","effects",15
"1226","en",15
"1227","falling",15
"1228","favorite",15
"1229","finished",15
"1230","fool",15
"1231","gain",15
"1232","gen",15
"1233","heroes",15
"1234","highly",15
"1235","homeless",15
"1236","homosexual",15
"1237","hostages",15
"1238","insurance",15
"1239","joke",15
"1240","justice",15
"1241","language",15
"1242","learning",15
"1243","lebanon",15
"1244","looked",15
"1245","loved",15
"1246","lowest",15
"1247","mandatory",15
"1248","meet",15
"1249","mexico",15
"1250","miles",15
"1251","moved",15
"1252","music",15
"1253","myth",15
"1254","nationalist",15
"1255","nukes",15
"1256","occupied",15
"1257","october",15
"1258","offering",15
"1259","pop",15
"1260","press",15
"1261","pressure",15
"1262","price",15
"1263","prior",15
"1264","prompt",15
"1265","prophecy",15
"1266","prostitutes",15
"1267","pulled",15
"1268","rats",15
"1269","raw",15
"1270","recently",15
"1271","remain",15
"1272","replacing",15
"1273","reproduce",15
"1274","required",15
"1275","sea",15
"1276","secret",15
"1277","siding",15
"1278","speech",15
"1279","stolen",15
"1280","stopped",15
"1281","store",15
"1282","sudden",15
"1283","thou",15
"1284","tons",15
"1285","traditional",15
"1286","universe",15
"1287","woods",15
"1288","yahweh",15
"1289","youth",15
