"","word","n"
"1","jew",896
"2","white",641
"3","fuck",580
"4","women",502
"5","retard",419
"6","nigger",401
"7","faggot",342
"8","world",300
"9","posting",293
"10","party",277
"11","learn",276
"12","real",272
"13","country",269
"14","america",256
"15","life",255
"16","force",250
"17","literally",233
"18","based",219
"19","campaign",215
"20","god",206
"21","trial",206
"22","bad",201
"23","crypto",201
"24","days",188
"25","stop",182
"26","money",181
"27","war",181
"28","job",173
"29","russia",170
"30","hate",168
"31","government",158
"32","pay",158
"33","makes",157
"34","spike",156
"35","start",152
"36","ukraine",150
"37","china",149
"38","race",147
"39","black",146
"40","israel",145
"41","kill",140
"42","live",140
"43","fake",138
"44","left",137
"45","death",136
"46","love",131
"47","oil",130
"48","russian",130
"49","care",128
"50","kids",128
"51","hard",127
"52","shooting",127
"53","imagine",125
"54","protein",124
"55","human",123
"56","pretty",120
"57","earth",118
"58","burning",117
"59","guy",116
"60","wrong",116
"61","gay",115
"62","system",114
"63","bullshit",109
"64","trump",108
"65","shill",107
"66","ass",106
"67","free",106
"68","feel",105
"69","reason",103
"70","ago",102
"71","history",101
"72","rabbi",100
"73","understand",100
"74","canada",99
"75","dumb",98
"76","fat",98
"77","body",97
"78","children",97
"79","die",97
"80","sex",97
"81","means",96
"82","person",96
"83","power",96
"84","stupid",96
"85","called",95
"86","chinese",95
"87","single",95
"88","vaccine",95
"89","nice",94
"90","college",92
"91","eat",92
"92","lost",92
"93","culture",91
"94","video",90
"95","girl",89
"96","water",88
"97","found",87
"98","americas",86
"99","debt",86
"100","media",86
"101","support",86
"102","gonna",85
"103","low",85
"104","talking",84
"105","times",84
"106","entire",83
"107","bit",82
"108","change",82
"109","op",82
"110","started",82
"111","food",81
"112","living",81
"113","matter",81
"114","remember",81
"115","degree",79
"116","family",79
"117","jesus",79
"118","school",79
"119","attack",78
"120","call",78
"121","control",78
"122","dude",78
"123","happen",78
"124","skin",78
"125","study",78
"126","countries",77
"127","house",77
"128","pic",77
"129","told",77
"130","anti",76
"131","holy",76
"132","mass",76
"133","leave",74
"134","modern",74
"135","society",74
"136","sense",73
"137","stay",73
"138","western",73
"139","blood",72
"140","funny",72
"141","girls",72
"142","king",72
"143","hope",71
"144","india",71
"145","happening",70
"146","hell",70
"147","science",70
"148","threads",70
"149","brown",69
"150","church",69
"151","fun",69
"152","idea",69
"153","truth",69
"154","west",69
"155","happened",68
"156","head",68
"157","buy",67
"158","coming",67
"159","question",67
"160","red",67
"161","stuff",67
"162","worse",67
"163","status",66
"164","christian",65
"165","class",65
"166","simply",65
"167","twitter",65
"168","dead",64
"169","half",64
"170","killed",64
"171","student",64
"172","thinking",64
"173","basically",63
"174","cope",63
"175","guess",63
"176","dick",62
"177","evil",62
"178","loans",62
"179","song",62
"180","week",62
"181","anymore",61
"182","fed",61
"183","line",61
"184","simple",61
"185","supposed",61
"186","talk",61
"187","bitch",60
"188","child",60
"189","created",60
"190","flag",60
"191","political",60
"192","wife",60
"193","beer",59
"194","level",59
"195","poor",59
"196","realize",59
"197","actual",58
"198","cool",58
"199","future",58
"200","hand",58
"201","land",58
"202","public",58
"203","taking",58
"204","vote",58
"205","age",57
"206","hours",57
"207","million",57
"208","mind",57
