"","word","n"
"1","jew",813
"2","fuck",627
"3","white",589
"4","nigger",571
"5","retard",494
"6","women",475
"7","russia",377
"8","america",350
"9","world",345
"10","faggot",318
"11","posting",302
"12","russian",302
"13","war",291
"14","party",277
"15","country",258
"16","de",253
"17","real",243
"18","force",238
"19","learn",235
"20","based",232
"21","money",228
"22","stop",226
"23","campaign",219
"24","trial",212
"25","literally",211
"26","ukraine",207
"27","life",206
"28","crypto",205
"29","live",200
"30","trump",194
"31","care",185
"32","bad",183
"33","hate",177
"34","love",174
"35","gay",168
"36","chinese",167
"37","free",165
"38","god",154
"39","black",149
"40","government",143
"41","si",133
"42","ago",132
"43","shill",131
"44","left",130
"45","pretty",128
"46","die",126
"47","kill",126
"48","power",126
"49","reason",126
"50","china",124
"51","west",124
"52","hard",123
"53","start",122
"54","change",121
"55","germany",121
"56","pay",121
"57","kids",120
"58","city",118
"59","israel",118
"60","countries",117
"61","makes",116
"62","imagine",115
"63","feel",113
"64","means",112
"65","la",111
"66","population",111
"67","death",107
"68","wrong",107
"69","sex",105
"70","understand",105
"71","video",105
"72","africa",104
"73","anti",104
"74","north",104
"75","talking",104
"76","trade",104
"77","nu",101
"78","buy",100
"79","guy",100
"80","job",100
"81","stupid",100
"82","house",99
"83","military",98
"84","race",98
"85","ass",97
"86","bullshit",97
"87","call",97
"88","fake",97
"89","media",96
"90","nazi",96
"91","gonna",95
"92","happen",95
"93","lost",95
"94","support",95
"95","human",94
"96","basically",93
"97","happened",92
"98","nice",92
"99","rape",92
"100","school",92
"101","single",92
"102","system",92
"103","talk",90
"104","children",88
"105","food",88
"106","started",88
"107","times",88
"108","actual",87
"109","family",87
"110","op",87
"111","total",87
"112","paid",86
"113","center",85
"114","dead",85
"115","living",85
"116","porn",85
"117","americas",84
"118","cope",84
"119","guess",83
"120","political",83
"121","stuff",83
"122","vaccine",83
"123","vote",83
"124","called",82
"125","car",82
"126","dumb",82
"127","history",82
"128","planes",82
"129","control",81
"130","entire",81
"131","korea",81
"132","fight",80
"133","half",80
"134","hit",80
"135","remember",80
"136","absolutely",78
"137","million",77
"138","music",77
"139","western",77
"140","days",76
"141","german",76
"142","matter",76
"143","normal",76
"144","question",76
"145","worse",76
"146","climate",75
"147","hope",75
"148","low",75
"149","move",75
"150","society",75
"151","told",75
"152","fat",74
"153","flag",74
"154","run",74
"155","wing",74
"156","blacks",73
"157","building",73
"158","head",73
"159","idea",73
"160","movie",73
"161","pussy",73
"162","future",72
"163","answer",71
"164","coming",71
"165","eat",71
"166","completely",70
"167","found",70
"168","anymore",69
"169","build",69
"170","child",69
"171","earth",69
"172","game",69
"173","story",69
"174","bitch",68
"175","female",68
"176","germans",68
"177","stay",68
"178","killed",67
"179","land",67
"180","person",67
"181","send",67
"182","threads",67
"183","average",66
"184","companies",66
"185","dick",66
"186","mind",66
"187","sage",66
"188","south",66
"189","evidence",65
"190","exist",65
"191","jazz",65
"192","shut",65
"193","thinking",65
"194","truth",65
"195","hand",64
"196","rest",64
"197","allowed",63
"198","dog",63
"199","jesus",63
"200","millions",63
"201","public",63
"202","win",63
"203","business",62
"204","male",62
"205","modern",62
"206","office",62
"207","tax",62
"208","water",62
"209","african",61
"210","happening",61
"211","holy",61
"212","leave",61
"213","literal",61
"214","pic",61
"215","president",61
"216","nazis",60
"217","past",60
"218","thousands",60
"219","damn",59
"220","funny",59
"221","social",59
"222","wait",59
"223","age",58
"224","attack",58
"225","crime",58
"226","culture",58
"227","en",58
"228","european",58
"229","movies",58
"230","brown",57
"231","cities",57
"232","indian",57
"233","level",57
"234","national",57
"235","taking",57
"236","week",57
"237","chance",56
"238","dude",56
"239","evil",56
"240","fag",56
"241","middle",56
"242","poor",56
"243","sense",56
"244","towers",56
"245","weak",56
"246","word",56
"247","ai",55
"248","destroyed",55
"249","including",55
"250","law",55
"251","save",55
"252","bunch",54
"253","easy",54
"254","girl",54
"255","illegal",54
"256","iq",54
"257","list",54
"258","months",54
"259","racist",54
"260","realize",54
"261","skin",54
"262","body",53
"263","destroy",53
"264","heard",53
"265","inside",53
"266","play",53
"267","poland",53
"268","polish",53
"269","rich",53
"270","ukrainian",53
"271","bit",52
"272","hot",52
"273","killing",52
"274","bring",51
"275","claim",51
"276","due",51
"277","massive",51
"278","month",51
"279","status",51
"280","subhuman",51
"281","words",51
"282","lose",50
"283","running",50
"284","twitter",50
"285","continue",49
"286","current",49
"287","died",49
"288","east",49
"289","fall",49
"290","immigrants",49
"291","irish",49
"292","pe",49
"293","proof",49
"294","soviet",49
"295","act",48
"296","canada",48
"297","cars",48
"298","cheap",48
"299","data",48
"300","fighting",48
"301","india",48
"302","market",48
"303","raped",48
"304","sounds",48
"305","boy",47
"306","class",47
"307","close",47
"308","cool",47
"309","decades",47
"310","oil",47
"311","parents",47
"312","plan",47
"313","seething",47
"314","smell",47
"315","weeks",47
"316","brain",46
"317","company",46
"318","economy",46
"319","enjoy",46
"320","hair",46
"321","mad",46
"322","mass",46
"323","plane",46
"324","prison",46
"325","propaganda",46
"326","simply",46
"327","supposed",46
"328","worth",46
"329","add",45
"330","british",45
"331","doctors",45
"332","fine",45
"333","giving",45
"334","hours",45
"335","immediately",45
"336","jobs",45
"337","kid",45
"338","nation",45
"339","reality",45
"340","simple",45
"341","wife",45
"342","bump",44
"343","caused",44
"344","common",44
"345","cost",44
"346","form",44
"347","honestly",44
"348","met",44
"349","politics",44
"350","book",43
"351","calling",43
"352","checked",43
"353","crazy",43
"354","cut",43
"355","deal",43
"356","empire",43
"357","english",43
"358","front",43
"359","hear",43
"360","het",43
"361","humans",43
"362","rate",43
