"","word","n"
"1","sharia shill",114
"2","stop replying",82
"3","threads stop",73
"4","slide threads",69
"5","topic garbage",65
"6","white race",53
"7","pic related",40
"8","white america",39
"9","king road",38
"10","dick johnny",36
"11","social media",32
"12","curious lad",30
"13","red barron",28
"14","white women",28
"15","civil war",26
"16","crime scene",26
"17","warm water",25
"18","anti white",24
"19","road residence",24
"20","diplomatic relations",22
"21","middle class",22
"22","nigger faggot",22
"23","bill gates",21
"24","flat earth",21
"25","faggot nigger",20
"26","real life",19
"27","russian victory",19
"28","armed forces",18
"29","female surgeons",18
"30","makes sense",18
"31","air force",17
"32","moral authority",17
"33","stupid nigger",17
"34","haven sheikh",16
"35","mentally ill",16
"36","donald trump",15
"37","mental illness",15
"38","secret military",15
"39","south africa",15
"40","white guy",15
"41","ashli babbitt",14
"42","child support",14
"43","solitary confinement",14
"44","blacks white",13
"45","endlessly bump",13
"46","japanese girls",13
"47","jew stay",13
"48","secret programs",13
"49","soviet union",13
"50","cell towers",12
"51","dick trap",12
"52","entire life",12
"53","hot water",12
"54","military faction",12
"55","military training",12
"56","moral legitimacy",12
"57","phone pings",12
"58","russian spook",12
"59","scratch white",12
"60","video games",12
"61","advanced technology",11
"62","cold war",11
"63","global diplomacy",11
"64","global diplomatic",11
"65","god damn",11
"66","gun control",11
"67","jesus christ",11
"68","nuclear power",11
"69","race mixing",11
"70","russian government",11
"71","scene girls",11
"72","bad faith",10
"73","controlled opposition",10
"74","entire world",10
"75","holocaust denial",10
"76","incriminating evidence",10
"77","jew served",10
"78","northern european",10
"79","real world",10
"80","reformed stoic",10
"81","secret program",10
"82","voter fraud",10
"83","word salad",10
"84","anti fascist",9
"85","billy bob",9
"86","blah blah",9
"87","brain damage",9
"88","chink nigger",9
"89","criticizing president",9
"90","education system",9
"91","god bless",9
"92","grocery store",9
"93","left wing",9
"94","multiple times",9
"95","nice guy",9
"96","north korea",9
"97","royal family",9
"98","stop posting",9
"99","virtue signal",9
"100","western culture",9
"101","alien involvement",8
"102","banana republic",8
"103","blue eyed",8
"104","bye bye",8
"105","cell phone",8
"106","common sense",8
"107","election stolen",8
"108","force veteran",8
"109","forensic evidence",8
"110","government officials",8
"111","hero til",8
"112","holy spirit",8
"113","jew fuck",8
"114","minute drive",8
"115","modern day",8
"116","nations spook",8
"117","overweight air",8
"118","phone ping",8
"119","pregnant women",8
"120","prime minister",8
"121","public execution",8
"122","real women",8
"123","single day",8
"124","space buds",8
"125","veteran craig",8
"126","watch porn",8
"127","white anti",8
"128","white white",8
"129","world country",8
"130","world war",8
"131","zion don",8
"132","anti china",7
"133","biggest discovery",7
"134","black sea",7
"135","black women",7
"136","city culture",7
"137","cool story",7
"138","counter offensive",7
"139","dumb fuck",7
"140","dumb nigger",7
"141","faggot ass",7
"142","fast food",7
"143","feel bad",7
"144","holy fuck",7
"145","human civilization",7
"146","iron crosses",7
"147","learning japanese",7
"148","master race",7
"149","middle east",7
"150","north america",7
"151","parking lot",7
"152","physical evidence",7
"153","plane crash",7
"154","race mixed",7
"155","rent free",7
"156","retard nigger",7
"157","schizo map",7
"158","secret government",7
"159","single person",7
"160","south america",7
"161","speak english",7
"162","thy word",7
"163","toilet paper",7
"164","war crimes",7
"165","western civilization",7
"166","western country",7
"167","white house",7
"168","academics inventors",6
"169","air defense",6
"170","aka jake",6
"171","american system",6
"172","avoiding detection",6
"173","blue eyes",6
"174","called jew",6
"175","catholic church",6
"176","china border",6
"177","christian god",6
"178","coffee coffee",6
"179","content creator",6
"180","deep inside",6
"181","defence secretary",6
"182","drove straight",6
"183","dumb cunt",6
"184","echo chamber",6
"185","estate tax",6
"186","foreign countries",6
"187","free speech",6
"188","fuck freaks",6
"189","gated communities",6
"190","girls love",6
"191","hate nigger",6
"192","heart attack",6
"193","hook white",6
"194","hundred million",6
"195","japanese women",6
"196","jew media",6
"197","jew worship",6
"198","joe coffee",6
"199","key innovators",6
"200","leaders academics",6
"201","male surgeons",6
"202","mass immigration",6
"203","meat grinder",6
"204","median salary",6
"205","mestizo trip",6
"206","modern judaism",6
"207","modern world",6
"208","moving forward",6
"209","multipolar world",6
"210","nevada street",6
"211","nigger chinks",6
"212","nigger nigger",6
"213","nuclear weapons",6
"214","paid shill",6
"215","phone pinged",6
"216","political party",6
"217","positions leaders",6
"218","president trump",6
"219","pullman washington",6
"220","race war",6
"221","redundancy measure",6
"222","rice farmers",6
"223","risk surgeries",6
"224","road pullman",6
"225","russia china",6
"226","russia russia",6
"227","russian military",6
"228","screen shot",6
"229","single mother",6
"230","smoke weed",6
"231","spike protein",6
"232","standing army",6
"233","stoic aka",6
"234","stop believing",6
"235","stop pretending",6
"236","supply chain",6
"237","support ukraine",6
"238","taking care",6
"239","trip fag",6
"240","trump trump",6
"241","ukrainian refugee",6
"242","virtue signalling",6
"243","western media",6
"244","whilst avoiding",6
"245","white country",6
"246","white genocide",6
"247","white girls",6
"248","white peoples",6
"249","women women",6
"250","actual aliens",5
"251","actual coup",5
"252","air power",5
"253","aircraft carrier",5
"254","aircraft lost",5
"255","alien species",5
"256","american police",5
"257","asian wife",5
"258","awaiting trial",5
"259","based societies",5
"260","billion dollar",5
"261","billion dollars",5
"262","bio weapon",5
"263","brute force",5
"264","chinese cars",5
"265","climate change",5
"266","conservative generation",5
"267","cooking oil",5
"268","crypto communists",5
"269","cum inside",5
"270","days ago",5
"271","declare war",5
"272","defensive lines",5
"273","election fraud",5
"274","esau esau",5
"275","esl nigger",5
"276","ethnic cleansing",5
"277","european culture",5
"278","execute dogs",5
"279","false flag",5
"280","fertility rate",5
"281","gonna lie",5
"282","government building",5
"283","hard job",5
"284","immune system",5
"285","including politics",5
"286","jew hate",5
"287","jew masters",5
"288","job application",5
"289","kill breed",5
"290","king nigger",5
"291","korean women",5
"292","learn mandarin",5
"293","major cities",5
"294","marxism communism",5
"295","melting pot",5
"296","middle aged",5
"297","million dollars",5
"298","mixed race",5
"299","murder white",5
"300","national identity",5
"301","native americans",5
"302","nazi religion",5
"303","obvious reasons",5
"304","painted nails",5
"305","pay attention",5
"306","perfectly moral",5
"307","police unfavorably",5
"308","pope francis",5
"309","power plant",5
"310","private sector",5
"311","proxy war",5
"312","quinn finite",5
"313","reading comprehension",5
"314","real jew",5
"315","real question",5
"316","red hair",5
"317","religion threads",5
"318","russia treats",5
"319","russian authorities",5
"320","russian empire",5
"321","saudi arabia",5
"322","scene girl",5
"323","shill threads",5
"324","single piece",5
"325","single women",5
"326","star trek",5
"327","stay safe",5
"328","storm government",5
"329","stupid faggot",5
"330","support russia",5
"331","tap water",5
"332","tax evasion",5
"333","tax money",5
"334","thou shalt",5
"335","tin foil",5
"336","town called",5
"337","trump lost",5
"338","velvet ropes",5
"339","wage war",5
"340","wear mask",5
"341","weigh american",5
"342","wind turbines",5
"343","women leaves",5
"344","women tend",5
"345","world countries",5
"346","yellow pussy",5
"347","absolutely retard",4
"348","acre camp",4
"349","actual fuck",4
"350","actual militia",4
"351","american women",4
"352","amino acids",4
"353","anti religion",4
"354","anti russian",4
"355","apply basic",4
"356","asian women",4
"357","attention whore",4
"358","attitudes change",4
"359","average person",4
"360","average white",4
"361","ballot box",4
"362","ban evading",4
"363","basic math",4
"364","battle system",4
"365","beat writers",4
"366","believes politicians",4
"367","belt buckle",4
"368","birth control",4
"369","blonde hair",4
"370","bob thornton",4
"371","body leaves",4
"372","british royals",4
"373","broken window",4
"374","brutal execution",4
"375","brutal polices",4
"376","buck toothed",4
"377","butt hurt",4
"378","buy groceries",4
"379","called blaine",4
"380","calls january",4
"381","car bloody",4
"382","car clean",4
"383","car speaks",4
"384","cell tower",4
"385","central heating",4
"386","central park",4
"387","cherry picked",4
"388","child protective",4
"389","china threads",4
"390","chinese government",4
"391","cloaking technology",4
"392","coffee stand",4
"393","comfy happening",4
"394","commit suicide",4
"395","communist country",4
"396","communist symbols",4
"397","confinement numerous",4
"398","confinement prior",4
"399","conspiracy theories",4
"400","conspiracy theory",4
"401","convenient step",4
"402","cost money",4
"403","cover story",4
"404","criminal court",4
"405","criticized president",4
"406","cute princess",4
"407","dads trash",4
"408","daily reminder",4
"409","dead nigger",4
"410","death aliens",4
"411","death penalty",4
"412","decades ahead",4
"413","denial illegal",4
"414","dick chopping",4
"415","distributed public",4
"416","drive straight",4
"417","drone strikes",4
"418","earn money",4
"419","earth spins",4
"420","electronic traces",4
"421","elementary school",4
"422","encourage russia",4
"423","enemy conducting",4
"424","entire continent",4
"425","entire lives",4
"426","entire society",4
"427","exact reason",4
"428","extra minutes",4
"429","eyes locked",4
"430","facing beating",4
"431","fading gaze",4
"432","fake tweet",4
"433","fed execution",4
"434","fed jacketing",4
"435","fighter jets",4
"436","final fantasy",4
"437","firearm safety",4
"438","fish soup",4
"439","flies whilst",4
"440","food supply",4
"441","forget switching",4
"442","front world",4
"443","fuck happened",4
"444","gay porn",4
"445","gay sex",4
"446","gene pool",4
"447","gene therapy",4
"448","german civilians",4
"449","global relations",4
"450","god fearing",4
"451","god save",4
"452","gonna happen",4
"453","goy cattle",4
"454","grey aliens",4
"455","gyro compass",4
"456","hate chink",4
"457","hate messages",4
"458","hate white",4
"459","health care",4
"460","historical figures",4
"461","holocaust jew",4
"462","hot war",4
"463","hour drive",4
"464","human life",4
"465","human rights",4
"466","human technology",4
"467","idaho murder",4
"468","idaho murders",4
"469","illegal immigration",4
"470","immune tolerance",4
"471","incredibly minor",4
"472","industrial complex",4
"473","insurrection stayed",4
"474","intelligent white",4
"475","jew detector",4
"476","jew empire",4
"477","jew jew",4
"478","jew lies",4
"479","jew nigger",4
"480","jew shill",4
"481","jew women",4
"482","knife sheath",4
"483","latin america",4
"484","laughing stock",4
"485","law enforcement",4
"486","leadership skills",4
"487","leave ash",4
"488","legit alien",4
"489","legitimate royalty",4
"490","license plate",4
"491","magically running",4
"492","male nurse",4
"493","middle eastern",4
"494","military cloak",4
"495","military equipment",4
"496","military industrial",4
"497","million claim",4
"498","minimum wage",4
"499","minor reaction",4
"500","minority white",4
"501","minutes drive",4
"502","mother fuck",4
"503","murders indictment",4
"504","music blasting",4
"505","national guard",4
"506","national security",4
"507","national socialism",4
"508","neanderthal admixture",4
"509","nigger fuck",4
"510","night drunk",4
"511","normal life",4
"512","normal person",4
"513","north african",4
"514","nuclear war",4
"515","nuclear waste",4
"516","numerous reports",4
"517","opposes russia",4
"518","oven dodging",4
"519","parking lots",4
"520","pay rent",4
"521","paying attention",4
"522","pearl necklace",4
"523","pee pee",4
"524","peer reviewed",4
"525","perform routine",4
"526","person insight",4
"527","pic unrelated",4
"528","plastic surgery",4
"529","political system",4
"530","popular vote",4
"531","port drive",4
"532","prestigious universities",4
"533","pretty cool",4
"534","pretty intelligent",4
"535","pretty sad",4
"536","prince harry",4
"537","protective services",4
"538","public brutal",4
"539","public opinion",4
"540","public school",4
"541","queen road",4
"542","race traitor",4
"543","rape baby",4
"544","real quick",4
"545","recall correct",4
"546","red pilled",4
"547","remove skin",4
"548","repeated vaccination",4
"549","residence pullman",4
"550","retard ass",4
"551","retard faggot",4
"552","risk aversion",4
"553","river drive",4
"554","roman empire",4
"555","royal air",4
"556","russia shill",4
"557","russian culture",4
"558","russian escort",4
"559","russian shill",4
"560","russian vessels",4
"561","sage banned",4
"562","seat ready",4
"563","secretly alleges",4
"564","sedimentary island",4
"565","sending money",4
"566","sexual assault",4
"567","sexual discourse",4
"568","shoe box",4
"569","shoes knife",4
"570","skin tags",4
"571","social status",4
"572","south korea",4
"573","southeast nevada",4
"574","space rockets",4
"575","spend money",4
"576","spike proteins",4
"577","sports programs",4
"578","stadium drive",4
"579","stand located",4
"580","star nation",4
"581","stay mad",4
"582","stolen election",4
"583","stop lying",4
"584","stops logging",4
"585","straight route",4
"586","super rich",4
"587","supports wholesale",4
"588","switching phone",4
"589","testament judaism",4
"590","thy sons",4
"591","tiny corner",4
"592","total mutt",4
"593","trump won",4
"594","trust fund",4
"595","turbo cancer",4
"596","type sage",4
"597","typical military",4
"598","ukraine happening",4
"599","ukraine war",4
"600","ukrainian military",4
"601","ukrainian women",4
"602","ultimate goal",4
"603","ultra modern",4
"604","upper middle",4
"605","utah vet",4
"606","video evidence",4
"607","walkable cities",4
"608","war era",4
"609","war started",4
"610","watching porn",4
"611","water engines",4
"612","wearing coveralls",4
"613","wedding ring",4
"614","week holiday",4
"615","western countries",4
"616","western spook",4
"617","western world",4
"618","white boys",4
"619","white christian",4
"620","white countries",4
"621","white kids",4
"622","white pussy",4
"623","white utopia",4
"624","wholesale bombardment",4
"625","wildly distributed",4
"626","wing party",4
"627","wizard mode",4
"628","women surgeons",4
"629","world leaders",4
"630","world nigger",4
"631","worshipping jew",4
"632","absolute retard",3
"633","absolutely demolish",3
"634","absolutely disgusting",3
"635","accurately measure",3
"636","actual game",3
