"","word","n"
"1","penis snatcher",50
"2","jesus christ",46
"3","phoenix king",40
"4","adam green",37
"5","white women",30
"6","pic related",27
"7","soup nazi",26
"8","white race",25
"9","toilet paper",24
"10","god jesus",23
"11","homo sapiens",23
"12","social media",22
"13","praise god",18
"14","reformed stoic",18
"15","socialist worker",16
"16","theobald von",16
"17","white guy",15
"18","central bank",14
"19","embed embed",14
"20","ugly women",14
"21","black culture",13
"22","civil war",13
"23","anti white",12
"24","cold war",12
"25","shill threads",12
"26","west bank",12
"27","makes sense",11
"28","mentally ill",11
"29","political party",11
"30","ron paul",11
"31","south africa",11
"32","toll paid",11
"33","video games",11
"34","asylum seekers",10
"35","bump shill",10
"36","conspiracy theory",10
"37","daily reminder",10
"38","donald trump",10
"39","dress code",10
"40","grocery store",10
"41","hate speech",10
"42","left wing",10
"43","middle class",10
"44","middle east",10
"45","mortality rate",10
"46","western civilization",10
"47","white kids",10
"48","anti semitic",9
"49","bad guy",9
"50","connect crime",9
"51","french revolution",9
"52","million dollars",9
"53","nigger loving",9
"54","real life",9
"55","short term",9
"56","weeks ago",9
"57","bird flu",8
"58","divine love",8
"59","entire country",8
"60","entire life",8
"61","fair trade",8
"62","false flag",8
"63","free money",8
"64","immigration policy",8
"65","military operation",8
"66","national socialism",8
"67","north korea",8
"68","pagan gods",8
"69","pro white",8
"70","special military",8
"71","stage communism",8
"72","tom boy",8
"73","virus bird",8
"74","air force",7
"75","armed forces",7
"76","bigger picture",7
"77","blah blah",7
"78","classical music",7
"79","drug addiction",7
"80","federal government",7
"81","fiscal policy",7
"82","god bless",7
"83","jew death",7
"84","middle eastern",7
"85","monetary policy",7
"86","multiple times",7
"87","nigger lover",7
"88","political implications",7
"89","replacement genocide",7
"90","russia won",7
"91","single day",7
"92","south america",7
"93","strike mike",7
"94","treasury market",7
"95","ukraine war",7
"96","video game",7
"97","white children",7
"98","white nationalist",7
"99","world war",7
"100","assault magazine",6
"101","banking system",6
"102","ben collins",6
"103","black friday",6
"104","brain damage",6
"105","central banks",6
"106","choosing romantic",6
"107","common sense",6
"108","counter culture",6
"109","dumb bitch",6
"110","dumb fuck",6
"111","dutch girls",6
"112","federal reserve",6
"113","flat earth",6
"114","free speech",6
"115","global communism",6
"116","gun lobby",6
"117","hat wearing",6
"118","heart attack",6
"119","hit puberty",6
"120","husband left",6
"121","immune system",6
"122","jew controlled",6
"123","jew worship",6
"124","liquidity crisis",6
"125","living hell",6
"126","meat grinder",6
"127","modern world",6
"128","national socialist",6
"129","net worth",6
"130","nigger music",6
"131","nigger tier",6
"132","paying taxes",6
"133","pelvic bone",6
"134","pretty cool",6
"135","public school",6
"136","real communism",6
"137","romantic partners",6
"138","speak spanish",6
"139","string pullers",6
"140","task force",6
"141","uncanny valley",6
"142","vast majority",6
"143","white supremacy",6
"144","abraham tank",5
"145","bank account",5
"146","bill gates",5
"147","biological weapons",5
"148","child spared",5
"149","class citizens",5
"150","confirmation bias",5
"151","country anymore",5
"152","death praise",5
"153","decades ago",5
"154","declare war",5
"155","dumb nigger",5
"156","east coast",5
"157","establish israel",5
"158","extremely hard",5
"159","fallen angels",5
"160","food prices",5
"161","friendly fire",5
"162","fuck sake",5
"163","hostage release",5
"164","housing prices",5
"165","human nature",5
"166","hundred thousand",5
"167","illegal aliens",5
"168","industrial complex",5
"169","jew control",5
"170","julius caesar",5
"171","martin luther",5
"172","mental illness",5
"173","million dollar",5
"174","mixed race",5
"175","modern women",5
"176","months ago",5
"177","nigger culture",5
"178","nigger infested",5
"179","parking lots",5
"180","pederast death",5
"181","play classical",5
"182","pregnant women",5
"183","president trump",5
"184","race mixing",5
"185","real deal",5
"186","russian military",5
"187","russian nationalism",5
"188","south african",5
"189","soviet tanks",5
"190","soviet union",5
"191","stop complaining",5
"192","stop posting",5
"193","stopped reading",5
"194","summon plasma",5
"195","tax dollars",5
"196","tax payer",5
"197","taxi driver",5
"198","wearing mask",5
"199","white americans",5
"200","white culture",5
"201","white person",5
"202","world country",5
"203","absolute retard",4
"204","american firearms",4
"205","anal sex",4
"206","ann arbor",4
"207","anti freedom",4
"208","anti mask",4
"209","art mine",4
"210","atomic bomb",4
"211","balance sheets",4
"212","based department",4
"213","bear children",4
"214","billion dollar",4
"215","blue eyed",4
"216","blue eyes",4
"217","blue haired",4
"218","blue jeans",4
"219","bob ross",4
"220","boiling water",4
"221","bowl trophy",4
"222","broad daylight",4
"223","brother die",4
"224","brown hair",4
"225","buy groceries",4
"226","canada closes",4
"227","charlie india",4
"228","cheap labor",4
"229","child porn",4
"230","children mohammad",4
"231","china russia",4
"232","clack clack",4
"233","class school",4
"234","clay institute",4
"235","clean clothes",4
"236","closes assault",4
"237","comfy happening",4
"238","communist pigs",4
"239","completely fuck",4
"240","computer science",4
"241","conspiracy theories",4
"242","control freaks",4
"243","controlled opposition",4
"244","controlling ideas",4
"245","cool story",4
"246","cop arrested",4
"247","create niggers",4
"248","critical thinking",4
"249","crucify adam",4
"250","crypto currency",4
"251","dancing nurses",4
"252","day special",4
"253","days ago",4
"254","derived rabbinical",4
"255","devoted golem",4
"256","dilly dallying",4
"257","divorce rate",4
"258","dumb faggot",4
"259","economic collapse",4
"260","entire world",4
"261","fat ass",4
"262","favorite wife",4
"263","federal aid",4
"264","firearms industry",4
"265","flu season",4
"266","flu virus",4
"267","freaks seeking",4
"268","fresh food",4
"269","front line",4
"270","gay earth",4
"271","gay sex",4
"272","german american",4
"273","german women",4
"274","gonna happen",4
"275","government including",4
"276","graphics card",4
"277","green card",4
"278","gun control",4
"279","hate crime",4
"280","hate hate",4
"281","hate israel",4
"282","hate jew",4
"283","hate niggers",4
"284","heavy metal",4
"285","heavy oil",4
"286","hell world",4
"287","hey rabbi",4
"288","holy fuck",4
"289","holy rosary",4
"290","homeless shelter",4
"291","hot takes",4
"292","human life",4
"293","human rights",4
"294","illegal migrants",4
"295","illegal workers",4
"296","imagine thinking",4
"297","imitates art",4
"298","impotent due",4
"299","increased crime",4
"300","india alpha",4
"301","institute unfair",4
"302","insufferable faggots",4
"303","jack sparrow",4
"304","jew banking",4
"305","jew cock",4
"306","jew masters",4
"307","jew parents",4
"308","jew power",4
"309","jew propaganda",4
"310","jew ritual",4
"311","lazy fuck",4
"312","life imitates",4
"313","local store",4
"314","lower wages",4
"315","maintain control",4
"316","mask wearing",4
"317","mass genocide",4
"318","massive scale",4
"319","mike pence",4
"320","millennium prize",4
"321","million dead",4
"322","minimum wage",4
"323","modern day",4
"324","month ago",4
"325","morally desolate",4
"326","mystery cult",4
"327","mystical entity",4
"328","national security",4
"329","nazis coping",4
"330","nigger cattle",4
"331","nigger worship",4
"332","paid shill",4
"333","parallel paths",4
"334","person shower",4
"335","pharisee derived",4
"336","picture evident",4
"337","pointless war",4
"338","pretty based",4
"339","prevent blacks",4
"340","prime minister",4
"341","printing money",4
"342","prize money",4
"343","pro russia",4
"344","professional spaniard",4
"345","prophet mohammad",4
"346","public safety",4
"347","public sector",4
"348","pushy rude",4
"349","pyramid scheme",4
"350","rabbinical schools",4
"351","racial census",4
"352","real anon",4
"353","real fake",4
"354","real impact",4
"355","real punks",4
"356","real reason",4
"357","red army",4
"358","religious claims",4
"359","respiratory virus",4
"360","retard control",4
"361","roman empire",4
"362","russia ukraine",4
"363","safety products",4
"364","sand nigger",4
"365","secret intelligence",4
"366","seething jew",4
"367","selling prince",4
"368","selling secrets",4
"369","severe pneumonia",4
"370","short simple",4
"371","single stage",4
"372","socially acceptable",4
"373","sold secrets",4
"374","solving unsolved",4
"375","spitefully opt",4
"376","stop dilly",4
"377","strongest army",4
"378","super bowl",4
"379","super exclusive",4
"380","support israel",4
"381","targeting kids",4
"382","tax fraud",4
"383","ten person",4
"384","terrible strategists",4
"385","thou art",4
"386","thousand dollars",4
"387","total jew",4
"388","treasury securities",4
"389","ukrainian ethnicity",4
"390","undeniable proof",4
"391","undercover journalist",4
"392","unsolved math",4
"393","upper class",4
"394","vanity fair",4
"395","virus fear",4
"396","wait till",4
"397","washington generals",4
"398","watch decline",4
