"","word","n"
"1","box happy",190
"2","canvas confetti",190
"3","coming weeks",190
"4","happy birthday",190
"5","janitor acceptance",190
"6","leading role",92
"7","jew cries",72
"8","white genocide",62
"9","middle east",61
"10","multicultural mode",47
"11","huge transformation",46
"12","monolithic society",46
"13","hate jew",38
"14","false flag",35
"15","israel intelligence",33
"16","holy land",32
"17","words white",29
"18","anti islamic",28
"19","atheist anti",28
"20","anti white",26
"21","support israel",26
"22","sand niggers",25
"23","pro israel",24
"24","jew death",23
"25","total jew",23
"26","dead jew",22
"27","fuck israel",19
"28","candlestick maker",18
"29","hate israel",17
"30","ground war",15
"31","sand nigger",15
"32","saudi arabia",15
"33","west bank",15
"34","conservative nationalist",14
"35","holy fuck",14
"36","islamic conservative",14
"37","money supply",14
"38","pic related",14
"39","russia ukraine",14
"40","christian holy",13
"41","iron dome",13
"42","jew shill",13
"43","killing jew",13
"44","minutes ago",13
"45","trans women",13
"46","world war",13
"47","fuck jew",12
"48","haven sheikh",12
"49","music festival",12
"50","red barron",12
"51","rollin rollin",12
"52","ukraine war",12
"53","white countries",12
"54","christian landmark",11
"55","israel jew",11
"56","jesus christ",11
"57","jew fuck",11
"58","jew women",11
"59","purchasing power",11
"60","school lunches",11
"61","skinny fat",11
"62","training costs",11
"63","air force",10
"64","anti israel",10
"65","coal burner",10
"66","god bless",10
"67","israel flag",10
"68","makes sense",10
"69","middle eastern",10
"70","pro white",10
"71","screen shot",10
"72","stop posting",10
"73","white race",10
"74","american lives",9
"75","civil war",9
"76","comfy happening",9
"77","economic growth",9
"78","european ethnicity",9
"79","filthy jew",9
"80","goat fuck",9
"81","ground invasion",9
"82","mass immigration",9
"83","north korea",9
"84","real life",9
"85","russia china",9
"86","single jew",9
"87","white position",9
"88","academic performance",8
"89","arab countries",8
"90","capitalism communism",8
"91","declares war",8
"92","dual citizens",8
"93","human rights",8
"94","indentured servitude",8
"95","israel army",8
"96","israel government",8
"97","israel soldiers",8
"98","israel war",8
"99","jew life",8
"100","muslim cock",8
"101","public support",8
"102","social media",8
"103","taylor swift",8
"104","arab cocks",7
"105","carrier strike",7
"106","china trans",7
"107","closed doors",7
"108","clown world",7
"109","cock riding",7
"110","cope seethe",7
"111","country cope",7
"112","death toll",7
"113","death total",7
"114","denounce israel",7
"115","dumb fuck",7
"116","faggot jew",7
"117","hate white",7
"118","hates jew",7
"119","huge amount",7
"120","israel taiwan",7
"121","jew children",7
"122","jew free",7
"123","jew hate",7
"124","kill jew",7
"125","mass migration",7
"126","pearl harbor",7
"127","prime minister",7
"128","proxy war",7
"129","proxy wars",7
"130","real world",7
"131","retard nigger",7
"132","support jew",7
"133","supporting israel",7
"134","surprise attack",7
"135","taiwan china",7
"136","trump won",7
"137","video game",7
"138","war crime",7
"139","white person",7
"140","women trans",7
"141","won capitalism",7
"142","acknowledges christ",6
"143","america fuck",6
"144","anti christian",6
"145","anti christianity",6
"146","anti semitic",6
"147","attacked israel",6
"148","attacking israel",6
"149","average jew",6
"150","black flag",6
"151","black flags",6
"152","black sea",6
"153","blah blah",6
"154","british empire",6
"155","chinese shill",6
"156","chip comfy",6
"157","christianity threads",6
"158","daily reminder",6
"159","day war",6
"160","declare war",6
"161","deputy commander",6
"162","destroy israel",6
"163","dirty jew",6
"164","dual citizenship",6
"165","dumb cunt",6
"166","embed embed",6
"167","entire world",6
"168","fairy tales",6
"169","feel bad",6
"170","fellow white",6
"171","free lunches",6
"172","golden age",6
"173","gonna happen",6
"174","goy cattle",6
"175","huge arab",6
"176","israel bombs",6
"177","israel death",6
"178","israel reminder",6
"179","israel shill",6
"180","jew deserve",6
"181","jew dick",6
"182","jew die",6
"183","jew loving",6
"184","leave israel",6
"185","left wing",6
"186","military aid",6
"187","muslim women",6
"188","native americans",6
"189","naval force",6
"190","nuclear weapons",6
"191","official chinese",6
"192","physical evidence",6
"193","potato nigger",6
"194","president trump",6
"195","printing money",6
"196","reformed stoic",6
"197","reminder israel",6
"198","russian federation",6
"199","shill paid",6
"200","skull mask",6
"201","spreading love",6
"202","stupid goyim",6
"203","ukraine conflict",6
"204","war ground",6
"205","western flags",6
"206","western nations",6
"207","white house",6
"208","win win",6
"209","afghanistan serbia",5
"210","alien invasion",5
"211","arab nations",5
"212","armed conflict",5
"213","attack israel",5
"214","banana republic",5
"215","billion dollars",5
"216","blames white",5
"217","blood fresh",5
"218","bod pods",5
"219","boring company",5
"220","british mandate",5
"221","buy dollars",5
"222","cabal burn",5
"223","cares replies",5
"224","cattle blood",5
"225","celebrating white",5
"226","china afghanistan",5
"227","circulating supply",5
"228","col lapse",5
"229","decapitated neck",5
"230","depth jew",5
"231","dim shared",5
"232","direct correlation",5
"233","direct public",5
"234","draft dodging",5
"235","dumb nigger",5
"236","dune coon",5
"237","egyptian police",5
"238","european countries",5
"239","evil jew",5
"240","expanding israel",5
"241","expanding money",5
"242","federal crime",5
"243","federal reserve",5
"244","fellow jew",5
"245","fighter jets",5
"246","free school",5
"247","free speech",5
"248","friendly fire",5
"249","funding cabinet",5
"250","genocide illegal",5
"251","god damn",5
"252","grows stronger",5
"253","guzzling goy",5
"254","hell fire",5
"255","holy war",5
"256","illegal alien",5
"257","infinite money",5
"258","intelligence fuck",5
"259","invade taiwan",5
"260","israel destroys",5
"261","israel falls",5
"262","israel grows",5
"263","israel israel",5
"264","jew brothers",5
"265","jew cum",5
"266","jew faggot",5
"267","jew features",5
"268","jew israel",5
"269","jew political",5
"270","jew york",5
"271","kill kill",5
"272","land belonged",5
"273","lindsey graham",5
"274","lives lost",5
"275","lose influence",5
"276","love jew",5
"277","mental illness",5
"278","militarily beat",5
"279","military power",5
"280","morally imperative",5
"281","move eye",5
"282","muslim nigger",5
"283","muslim world",5
"284","national socialism",5
"285","neutral party",5
"286","neutrality leads",5
"287","north indian",5
"288","nuclear war",5
"289","nutritional risk",5
"290","palestinian children",5
"291","permission slip",5
"292","plane ticket",5
"293","political funding",5
"294","racist permission",5
"295","reminder russia",5
"296","save israel",5
"297","serbia iran",5
"298","sex slaves",5
"299","shill threads",5
"300","slip modern",5
"301","social genocide",5
"302","southern division",5
"303","soviet union",5
"304","space lasers",5
"305","spends money",5
"306","stone age",5
"307","successful war",5
"308","supports israel",5
"309","system teaches",5
"310","tax dollars",5
"311","team blue",5
"312","thousand dollars",5
"313","total death",5
"314","vaccine social",5
"315","video games",5
"316","voting data",5
"317","wage war",5
"318","war hurry",5
"319","western countries",5
"320","western country",5
"321","white anti",5
"322","white benefit",5
"323","white palestinians",5
"324","white replacement",5
"325","wildly successful",5
"326","aircraft carrier",4
"327","aircraft carriers",4
"328","america neutrality",4
"329","american dream",4
"330","anti jew",4
"331","armed forces",4
"332","based fuck",4
"333","boots strap",4
"334","center repeat",4
"335","children occurred",4
"336","christian threads",4
"337","coming days",4
"338","common denominator",4
"339","common enemy",4
"340","control brain",4
"341","days ago",4
"342","dead giveaway",4
"343","death israel",4
"344","declared war",4
"345","defense minister",4
"346","directly involved",4
"347","diversity hires",4
"348","dumb faggot",4
"349","economic conditions",4
"350","economic policies",4
"351","economies grow",4
