"","word","n"
"1","zen king",40
"2","spike protein",37
"3","blood tribe",32
"4","white women",30
"5","aka don",28
"6","social media",27
"7","climate change",22
"8","flat earth",22
"9","pic related",22
"10","student debt",21
"11","student loans",21
"12","king haver",20
"13","sex breeder",20
"14","teenagers defiler",20
"15","anti white",18
"16","black rock",18
"17","biggest shortcoming",16
"18","makes sense",16
"19","holy fuck",15
"20","jesus christ",15
"21","don glover",14
"22","fig tree",14
"23","reformed stoic",14
"24","student loan",14
"25","roman empire",13
"26","spike proteins",13
"27","fed fed",12
"28","human trafficking",12
"29","insurance company",12
"30","jew shill",12
"31","mentally ill",12
"32","olive oil",12
"33","catholic church",11
"34","loan debt",11
"35","shooting start",11
"36","skin cancer",11
"37","white country",11
"38","white race",11
"39","girl job",10
"40","left wing",10
"41","mad max",10
"42","seed oils",10
"43","tax money",10
"44","fat fuck",9
"45","human race",9
"46","mental illness",9
"47","middle east",9
"48","mother fuck",9
"49","president trump",9
"50","red alert",9
"51","red pill",9
"52","retard nigger",9
"53","accurately recognizes",8
"54","armed forces",8
"55","banker jew",8
"56","cold war",8
"57","human history",8
"58","jew power",8
"59","nuclear war",8
"60","pragmatic gain",8
"61","prime driver",8
"62","real deal",8
"63","real estate",8
"64","real life",8
"65","solar system",8
"66","south africa",8
"67","sunflower oil",8
"68","video games",8
"69","world country",8
"70","black women",7
"71","civil war",7
"72","diaspora jew",7
"73","electric universe",7
"74","federal government",7
"75","friendly reminder",7
"76","fuck niggers",7
"77","gay sex",7
"78","god bless",7
"79","ice age",7
"80","leo frank",7
"81","national emergency",7
"82","nigger cattle",7
"83","playa lung",7
"84","real world",7
"85","soviet union",7
"86","trump won",7
"87","western civilization",7
"88","white christian",7
"89","adam green",6
"90","alert red",6
"91","black cock",6
"92","black holes",6
"93","blue eyes",6
"94","cancel student",6
"95","chest compressions",6
"96","company execs",6
"97","company executives",6
"98","culture war",6
"99","daily reminder",6
"100","dumb nigger",6
"101","festival goers",6
"102","free speech",6
"103","fuck jew",6
"104","hands typed",6
"105","handsome truth",6
"106","hot college",6
"107","immune system",6
"108","israel jew",6
"109","jew cum",6
"110","jew literally",6
"111","lemon juice",6
"112","lost world",6
"113","mass immigration",6
"114","middle class",6
"115","mixed race",6
"116","modern day",6
"117","molecular mechanisms",6
"118","mosque shooting",6
"119","national socialism",6
"120","nervous system",6
"121","political party",6
"122","pope francis",6
"123","realize insurance",6
"124","roads closed",6
"125","russian empire",6
"126","saturday night",6
"127","slide threads",6
"128","smoke weed",6
"129","stand trial",6
"130","synagogue shooting",6
"131","unrelenting twitter",6
"132","vast majority",6
"133","white girls",6
"134","white guy",6
"135","white immigrants",6
"136","white males",6
"137","american nigger",5
"138","anti semitic",5
"139","aryan values",5
"140","border human",5
"141","college degree",5
"142","college girls",5
"143","communist party",5
"144","dark matter",5
"145","dual citizenship",5
"146","dumb faggot",5
"147","economic zone",5
"148","entire country",5
"149","false flag",5
"150","feel bad",5
"151","feel free",5
"152","foreign policy",5
"153","grocery store",5
"154","gun control",5
"155","hand outs",5
"156","human life",5
"157","jew community",5
"158","jew media",5
"159","latin america",5
"160","lend lease",5
"161","loan forgiveness",5
"162","local currency",5
"163","magnetic field",5
"164","matt walsh",5
"165","pay attention",5
"166","pretty cool",5
"167","race mixed",5
"168","race mixing",5
"169","red giant",5
"170","rentier life",5
"171","sandy hook",5
"172","school system",5
"173","socialist hand",5
"174","spike fragment",5
"175","star trek",5
"176","star wars",5
"177","stupid nigger",5
"178","support ukraine",5
"179","taking advantage",5
"180","tax dollars",5
"181","touch grass",5
"182","trump lost",5
"183","universe theory",5
"184","women deserve",5
"185","world wide",5
"186","abiotic oil",4
"187","achieve total",4
"188","african americans",4
"189","alkaline flats",4
"190","american jew",4
"191","anal sex",4
"192","animal fats",4
"193","animal products",4
"194","anti christian",4
"195","archaeological evidence",4
"196","ass cheeks",4
"197","bacterial infection",4
"198","bacterial infections",4
"199","bald cap",4
"200","basic bitch",4
"201","bible quotes",4
"202","billion dollars",4
"203","biological samples",4
"204","birth rates",4
"205","black hole",4
"206","blue eyed",4
"207","buy food",4
"208","buzz kill",4
