"","word","n"
"1","coming weeks",195
"2","janitor acceptance",195
"3","black sea",32
"4","roman empire",32
"5","check flag",28
"6","russian check",28
"7","future tense",24
"8","jesus christ",24
"9","sea fleet",24
"10","driving trucks",23
"11","white women",22
"12","pic related",20
"13","russians response",20
"14","anti white",19
"15","soviet union",19
"16","storm shadow",19
"17","civil war",18
"18","failed lawyer",18
"19","truck drivers",18
"20","world war",16
"21","cruise missiles",14
"22","mentally ill",14
"23","tax dollars",14
"24","left wing",13
"25","spirit cookers",13
"26","black women",12
"27","educated white",12
"28","russian army",12
"29","conspiracy theory",11
"30","female supremacy",11
"31","gun laws",11
"32","middle east",11
"33","million jew",11
"34","multiple times",11
"35","sex trafficked",11
"36","white guy",11
"37","brown women",10
"38","college educated",10
"39","double agent",10
"40","driving cars",10
"41","makes sense",10
"42","real life",10
"43","world country",10
"44","yeah yeah",10
"45","blood cultists",9
"46","conspiracy theories",9
"47","experimental treatment",9
"48","fight wars",9
"49","god bless",9
"50","holy fuck",9
"51","middle class",9
"52","nazi nazi",9
"53","private property",9
"54","race mixing",9
"55","spirit cooking",9
"56","trucks virtually",9
"57","virtually overnight",9
"58","white voters",9
"59","world wars",9
"60","air defence",8
"61","anti semitic",8
"62","driving vehicle",8
"63","fake jew",8
"64","feel bad",8
"65","fuck niggers",8
"66","gun control",8
"67","hate speech",8
"68","inferiority complex",8
"69","mass immigration",8
"70","modern day",8
"71","north america",8
"72","president trump",8
"73","quantum mechanics",8
"74","russian military",8
"75","street shitting",8
"76","theoretical future",8
"77","ukraine war",8
"78","white race",8
"79","autonomous vehicles",7
"80","common sense",7
"81","false flag",7
"82","federal reserve",7
"83","fire arm",7
"84","foreign policy",7
"85","genetic composition",7
"86","history books",7
"87","huddled masses",7
"88","ice officer",7
"89","industrial complex",7
"90","invade haiti",7
"91","law enforcement",7
"92","melting pot",7
"93","minimum wage",7
"94","physical evidence",7
"95","police officers",7
"96","russian territory",7
"97","special forces",7
"98","vast majority",7
"99","white collar",7
"100","white house",7
"101","white male",7
"102","white person",7
"103","armed forces",6
"104","blah blah",6
"105","blue eyed",6
"106","brick pizza",6
"107","climate change",6
"108","clown world",6
"109","commit suicide",6
"110","dumb nigger",6
"111","ethnic cleansing",6
"112","evil betty",6
"113","fuck jew",6
"114","gas chamber",6
"115","gene therapy",6
"116","george lincoln",6
"117","global warming",6
"118","god damn",6
"119","haven sheikh",6
"120","human rights",6
"121","human sacrifice",6
"122","humiliation ritual",6
"123","inevitably mix",6
"124","jew bullshit",6
"125","jew burned",6
"126","jew hate",6
"127","jew nazis",6
"128","jew seethe",6
"129","jew shill",6
"130","julius alexander",6
"131","life support",6
"132","lincoln rockwell",6
"133","machine guns",6
"134","mass media",6
"135","modern times",6
"136","muslim scientist",6
"137","native brits",6
"138","north african",6
"139","north korea",6
"140","northern italy",6
"141","paying attention",6
"142","pic real",6
"143","pissing russia",6
"144","pizza oven",6
"145","president donald",6
"146","real power",6
"147","red line",6
"148","red lines",6
"149","retired cop",6
"150","social media",6
"151","storm shadows",6
"152","tom cruise",6
"153","ukrainian army",6
"154","ukrainian war",6
"155","uniform genetic",6
"156","white american",6
"157","women crave",6
"158","african american",5
"159","african americans",5
"160","african nigger",5
"161","amateur radio",5
"162","ambassador ukraine",5
"163","american empire",5
"164","anti nigger",5
"165","automatic guns",5
"166","average american",5
"167","average joe",5
"168","average person",5
"169","bad guy",5
"170","black lives",5
"171","buck broken",5
"172","cold war",5
"173","complete silence",5
"174","completely fine",5
"175","construction worker",5
"176","days ago",5
"177","dead russians",5
"178","decades ago",5
"179","derogatory term",5
"180","directly address",5
"181","driving vehicles",5
"182","european white",5
"183","eyes wide",5
"184","fast food",5
"185","fat mike",5
"186","fighting age",5
"187","finally declining",5
"188","founding fathers",5
"189","front line",5
"190","gas station",5
"191","grocery store",5
"192","ham radio",5
"193","hate niggers",5
"194","hate white",5
"195","holocaust happened",5
"196","human history",5
"197","ice officers",5
"198","illinois previously",5
"199","influence isabella",5
"200","insurance companies",5
"201","invade taiwan",5
"202","jew family",5
"203","jew killed",5
"204","jew pay",5
